year,eshop_total,eshop_ecomm,us_total,us_ecomm
1998,80297,4008,2581762,4984
1999,94282,11615,2803090,14490
2000,113790,21221,2983276,27608
2001,114749,25892,3062268,34260
2002,122214,33764,3128552,44623
2003,134304,41962,3262731,57155
2004,154157,52996,3473048,72597
2005,175900,68114,3689283,91387
2006,202251,85945,3871573,113334
2007,223681,105467,3995182,136470
2008,229242,114642,3935315,141592
2009,235625,121173,3612471,145507
2010,263488,143000,3818048,169921
2011,294697,168727,4102952,200263
2012,328655,195025,4302229,231923
2013,350487,220804,4458450,263646
2014,386065,255065,4639440,303024
2015,433987,293271,4725993,346965
2016,488619,339928,4851774,397307
2017,552214,397490,5046894,461034