category,year,cat_total,cat_ecomm,sector_total,sector_ecomm
Sporting Goods,2000,1794,409,113790,21221
Jewelry,2000,3040,497,113790,21221
"Food, Beverage and Alcohol",2000,1960,591,113790,21221
Personal Care,2000,15557,701,113790,21221
"Toys, Hobby, and Games",2000,3174,806,113790,21221
Furniture and Home Furnishings,2000,6556,1006,113790,21221
Nonmerchandise,2000,3187,1006,113790,21221
Computer Software,2000,3706,1109,113790,21221
Electronics and Appliances,2000,3641,1128,113790,21221
Audio and Video Recordings,2000,4433,1154,113790,21221
Other Merchandise,2000,13209,1369,113790,21221
Office Supplies,2000,6600,1375,113790,21221
Books,2000,4297,1759,113790,21221
Apparel,2000,15415,2262,113790,21221
Computer and Cell Phones,2000,27221,6049,113790,21221
Sporting Goods,2001,1906,517,114749,25892
"Food, Beverage and Alcohol",2001,2037,519,114749,25892
Jewelry,2001,3434,576,114749,25892
"Toys, Hobby, and Games",2001,3138,896,114749,25892
Personal Care,2001,19707,1122,114749,25892
Computer Software,2001,3983,1157,114749,25892
Audio and Video Recordings,2001,4083,1211,114749,25892
Books,2001,4137,1644,114749,25892
Furniture and Home Furnishings,2001,6696,1654,114749,25892
Nonmerchandise,2001,4271,1763,114749,25892
Office Supplies,2001,5740,1824,114749,25892
Electronics and Appliances,2001,4535,1844,114749,25892
Other Merchandise,2001,14242,2421,114749,25892
Apparel,2001,15712,3325,114749,25892
Computer and Cell Phones,2001,21128,5419,114749,25892
Jewelry,2002,3377,666,122214,33764
"Food, Beverage and Alcohol",2002,2014,714,122214,33764
Sporting Goods,2002,3073,1028,122214,33764
Computer Software,2002,3661,1239,122214,33764
"Toys, Hobby, and Games",2002,3775,1259,122214,33764
Audio and Video Recordings,2002,3902,1352,122214,33764
Books,2002,4267,1787,122214,33764
Personal Care,2002,27471,1849,122214,33764
Office Supplies,2002,5099,2285,122214,33764
Furniture and Home Furnishings,2002,7290,2412,122214,33764
Nonmerchandise,2002,5408,2449,122214,33764
Electronics and Appliances,2002,5520,2704,122214,33764
Other Merchandise,2002,14162,3396,122214,33764
Apparel,2002,14477,4545,122214,33764
Computer and Cell Phones,2002,18718,6079,122214,33764
"Food, Beverage and Alcohol",2003,2172,820,134304,41962
Jewelry,2003,3978,950,134304,41962
Sporting Goods,2003,3053,1155,134304,41962
Computer Software,2003,2930,1192,134304,41962
Audio and Video Recordings,2003,3473,1384,134304,41962
"Toys, Hobby, and Games",2003,4049,1610,134304,41962
Books,2003,4446,1994,134304,41962
Personal Care,2003,34783,2606,134304,41962
Office Supplies,2003,5194,2929,134304,41962
Nonmerchandise,2003,6776,3251,134304,41962
Furniture and Home Furnishings,2003,8057,3283,134304,41962
Electronics and Appliances,2003,7151,4109,134304,41962
Other Merchandise,2003,15379,4598,134304,41962
Apparel,2003,14497,5501,134304,41962
Computer and Cell Phones,2003,18366,6580,134304,41962
"Food, Beverage and Alcohol",2004,2520,1030,154157,52996
Jewelry,2004,3914,1134,154157,52996
Electronics and Appliances,2004,9277,1282,154157,52996
Sporting Goods,2004,3579,1430,154157,52996
Computer Software,2004,3089,1456,154157,52996
Audio and Video Recordings,2004,3591,1480,154157,52996
"Toys, Hobby, and Games",2004,4133,1758,154157,52996
Books,2004,4930,2270,154157,52996
Personal Care,2004,43338,3574,154157,52996
Furniture and Home Furnishings,2004,8515,4023,154157,52996
Nonmerchandise,2004,8242,4379,154157,52996
Office Supplies,2004,12980,5199,154157,52996
Other Merchandise,2004,17718,6018,154157,52996
Apparel,2004,15681,7054,154157,52996
Computer and Cell Phones,2004,20277,8006,154157,52996
"Food, Beverage and Alcohol",2005,3406,1608,175900,68114
Jewelry,2005,4470,1812,175900,68114
Computer Software,2005,3706,1834,175900,68114
Audio and Video Recordings,2005,3412,1864,175900,68114
Sporting Goods,2005,4179,1912,175900,68114
"Toys, Hobby, and Games",2005,4649,2240,175900,68114
Books,2005,5438,2903,175900,68114
Office Supplies,2005,6112,3852,175900,68114
Personal Care,2005,49810,4270,175900,68114
Nonmerchandise,2005,9327,5281,175900,68114
Furniture and Home Furnishings,2005,10576,5620,175900,68114
Other Merchandise,2005,20699,8026,175900,68114
Electronics and Appliances,2005,10953,8084,175900,68114
Computer and Cell Phones,2005,20601,9345,175900,68114
Apparel,2005,18562,9463,175900,68114
Computer Software,2006,3845,2023,202251,85945
Jewelry,2006,4696,2132,202251,85945
"Food, Beverage and Alcohol",2006,4213,2280,202251,85945
Sporting Goods,2006,4502,2402,202251,85945
"Toys, Hobby, and Games",2006,4638,2536,202251,85945
Audio and Video Recordings,2006,3869,2605,202251,85945
Books,2006,5980,3694,202251,85945
Office Supplies,2006,6959,4919,202251,85945
Personal Care,2006,63305,5416,202251,85945
Nonmerchandise,2006,11320,7036,202251,85945
Furniture and Home Furnishings,2006,12028,7857,202251,85945
Other Merchandise,2006,21720,9847,202251,85945
Electronics and Appliances,2006,13925,9938,202251,85945
Computer and Cell Phones,2006,20176,10373,202251,85945
Apparel,2006,21075,12887,202251,85945
Computer Software,2007,4597,2613,223681,105467
Jewelry,2007,5557,2738,223681,105467
"Food, Beverage and Alcohol",2007,5132,2996,223681,105467
"Toys, Hobby, and Games",2007,5414,3112,223681,105467
Sporting Goods,2007,5567,3178,223681,105467
Audio and Video Recordings,2007,4638,3379,223681,105467
Books,2007,7185,5370,223681,105467
Office Supplies,2007,8097,5922,223681,105467
Personal Care,2007,61859,6473,223681,105467
Nonmerchandise,2007,13443,8939,223681,105467
Furniture and Home Furnishings,2007,13444,9061,223681,105467
Computer and Cell Phones,2007,22855,11694,223681,105467
Electronics and Appliances,2007,15991,11955,223681,105467
Other Merchandise,2007,25588,12001,223681,105467
Apparel,2007,24314,16036,223681,105467
Computer Software,2008,4906,2887,229242,114642
Jewelry,2008,5431,2957,229242,114642
"Food, Beverage and Alcohol",2008,4891,3033,229242,114642
"Toys, Hobby, and Games",2008,5667,3445,229242,114642
Sporting Goods,2008,5824,3535,229242,114642
Audio and Video Recordings,2008,5321,4208,229242,114642
Books,2008,7642,5599,229242,114642
Office Supplies,2008,8183,6425,229242,114642
Personal Care,2008,64783,7586,229242,114642
Nonmerchandise,2008,13483,9330,229242,114642
Furniture and Home Furnishings,2008,13303,9540,229242,114642
Computer and Cell Phones,2008,20923,11394,229242,114642
Other Merchandise,2008,25883,13396,229242,114642
Electronics and Appliances,2008,17457,13670,229242,114642
Apparel,2008,25545,17637,229242,114642
Jewelry,2009,4817,2787,235625,121173
"Food, Beverage and Alcohol",2009,4824,2966,235625,121173
Computer Software,2009,5432,3440,235625,121173
"Toys, Hobby, and Games",2009,5384,3639,235625,121173
Sporting Goods,2009,6058,3945,235625,121173
Audio and Video Recordings,2009,6107,5064,235625,121173
Office Supplies,2009,7730,5975,235625,121173
Books,2009,7569,6000,235625,121173
Personal Care,2009,69164,8865,235625,121173
Furniture and Home Furnishings,2009,12759,9262,235625,121173
Nonmerchandise,2009,13464,9369,235625,121173
Computer and Cell Phones,2009,20141,11223,235625,121173
Other Merchandise,2009,26078,13826,235625,121173
Electronics and Appliances,2009,18798,15087,235625,121173
Apparel,2009,27300,19725,235625,121173
Jewelry,2010,5149,3315,263488,143000
"Food, Beverage and Alcohol",2010,5258,3372,263488,143000
Computer Software,2010,5826,3676,263488,143000
Sporting Goods,2010,6430,4408,263488,143000
"Toys, Hobby, and Games",2010,6009,4470,263488,143000
Office Supplies,2010,7815,6009,263488,143000
Books,2010,8823,7428,263488,143000
Personal Care,2010,75572,10952,263488,143000
Furniture and Home Furnishings,2010,14498,11150,263488,143000
Nonmerchandise,2010,15550,11220,263488,143000
Computer and Cell Phones,2010,22443,12080,263488,143000
Audio and Video Recordings,2010,26235,14808,263488,143000
Other Merchandise,2010,30026,17536,263488,143000
Electronics and Appliances,2010,21664,17862,263488,143000
Apparel,2010,31354,23481,263488,143000
Jewelry,2011,5499,3802,294697,168727
"Food, Beverage and Alcohol",2011,6031,4036,294697,168727
Computer Software,2011,6970,4793,294697,168727
Sporting Goods,2011,7082,5148,294697,168727
"Toys, Hobby, and Games",2011,7085,5407,294697,168727
Office Supplies,2011,7842,6361,294697,168727
Audio and Video Recordings,2011,7599,6685,294697,168727
Books,2011,10329,8850,294697,168727
Nonmerchandise,2011,15680,12027,294697,168727
Personal Care,2011,84320,12411,294697,168727
Computer and Cell Phones,2011,23527,13796,294697,168727
Furniture and Home Furnishings,2011,17326,13834,294697,168727
Other Merchandise,2011,34195,21477,294697,168727
Electronics and Appliances,2011,25580,21871,294697,168727
Apparel,2011,35632,28229,294697,168727
Jewelry,2012,6405,4651,328655,195025
"Food, Beverage and Alcohol",2012,7176,5059,328655,195025
Computer Software,2012,8368,6187,328655,195025
"Toys, Hobby, and Games",2012,8474,6446,328655,195025
Sporting Goods,2012,8725,6458,328655,195025
Office Supplies,2012,7975,6722,328655,195025
Audio and Video Recordings,2012,8544,7690,328655,195025
Books,2012,11423,9973,328655,195025
Nonmerchandise,2012,16213,12084,328655,195025
Computer and Cell Phones,2012,22498,13847,328655,195025
Personal Care,2012,94423,15875,328655,195025
Furniture and Home Furnishings,2012,20425,16652,328655,195025
Electronics and Appliances,2012,28852,24756,328655,195025
Other Merchandise,2012,37589,24920,328655,195025
Apparel,2012,41565,33705,328655,195025
Jewelry,2013,7103,5119,350487,220804
"Food, Beverage and Alcohol",2013,7971,5489,350487,220804
Office Supplies,2013,7132,6011,350487,220804
Computer Software,2013,8799,6785,350487,220804
Sporting Goods,2013,10287,8100,350487,220804
Audio and Video Recordings,2013,8969,8114,350487,220804
Books,2013,12189,10566,350487,220804
Nonmerchandise,2013,14785,10863,350487,220804
Computer and Cell Phones,2013,22069,14677,350487,220804
Personal Care,2013,96497,19681,350487,220804
Furniture and Home Furnishings,2013,24632,20906,350487,220804
Electronics and Appliances,2013,31368,27372,350487,220804
"Toys, Hobby, and Games",2013,10313,27964,350487,220804
Other Merchandise,2013,39789,28556,350487,220804
Apparel,2013,48584,40306,350487,220804
Jewelry,2014,7634,5527,386065,255065
"Food, Beverage and Alcohol",2014,8930,6710,386065,255065
Office Supplies,2014,9628,7988,386065,255065
Computer Software,2014,10326,8705,386065,255065
Sporting Goods,2014,11490,9644,386065,255065
"Toys, Hobby, and Games",2014,12523,10038,386065,255065
Nonmerchandise,2014,15181,11246,386065,255065
Books,2014,12974,11323,386065,255065
Computer and Cell Phones,2014,22685,16012,386065,255065
Personal Care,2014,101106,22575,386065,255065
Furniture and Home Furnishings,2014,29497,25576,386065,255065
Audio and Video Recordings,2014,31548,27537,386065,255065
Electronics and Appliances,2014,33599,29498,386065,255065
Other Merchandise,2014,45833,34715,386065,255065
Apparel,2014,56773,47094,386065,255065
Jewelry,2015,9010,6618,433987,293271
Audio and Video Recordings,2015,8620,7749,433987,293271
"Food, Beverage and Alcohol",2015,10167,8090,433987,293271
Nonmerchandise,2015,11952,8216,433987,293271
Office Supplies,2015,8899,8868,433987,293271
Computer Software,2015,10829,9997,433987,293271
Sporting Goods,2015,14005,12302,433987,293271
"Toys, Hobby, and Games",2015,14847,12328,433987,293271
Books,2015,13989,12408,433987,293271
Computer and Cell Phones,2015,21534,16469,433987,293271
Personal Care,2015,117315,26835,433987,293271
Furniture and Home Furnishings,2015,36734,32637,433987,293271
Electronics and Appliances,2015,37233,33528,433987,293271
Other Merchandise,2015,56394,44109,433987,293271
Apparel,2015,62459,53117,433987,293271
Jewelry,2016,9103,6908,488619,339928
Audio and Video Recordings,2016,9404,8529,488619,339928
Office Supplies,2016,10214,8814,488619,339928
Nonmerchandise,2016,12565,9400,488619,339928
"Food, Beverage and Alcohol",2016,12324,10252,488619,339928
Computer Software,2016,13369,12461,488619,339928
Books,2016,16037,13835,488619,339928
"Toys, Hobby, and Games",2016,16453,14080,488619,339928
Sporting Goods,2016,16775,14569,488619,339928
Computer and Cell Phones,2016,22839,19935,488619,339928
Personal Care,2016,129981,31422,488619,339928
Electronics and Appliances,2016,42320,38620,488619,339928
Furniture and Home Furnishings,2016,44254,39847,488619,339928
Other Merchandise,2016,64109,51155,488619,339928
Apparel,2016,68872,60101,488619,339928
Jewelry,2017,9173,7192,552214,397490
Office Supplies,2017,11199,9451,552214,397490
Audio and Video Recordings,2017,10578,9701,552214,397490
Nonmerchandise,2017,13334,10110,552214,397490
"Food, Beverage and Alcohol",2017,15370,12670,552214,397490
Computer Software,2017,16432,15443,552214,397490
Books,2017,17989,15926,552214,397490
"Toys, Hobby, and Games",2017,18418,16628,552214,397490
Sporting Goods,2017,18857,16932,552214,397490
Computer and Cell Phones,2017,26366,23258,552214,397490
Personal Care,2017,139067,35724,552214,397490
Electronics and Appliances,2017,50414,46210,552214,397490
Furniture and Home Furnishings,2017,52960,48734,552214,397490
Other Merchandise,2017,76598,62795,552214,397490
Apparel,2017,75459,66716,552214,397490